id,title,year,description,link
1,Desperate Living,1977,"""Desperate Living"" (1977): A John Waters come",/wiki/Desperate_Living
2,Linda/Les and Annie: The First FemaletoMale,1992,"""Linda/Les and Annie: The First FemaletoMal",/w/index.php?title=Linda/Les_and_Annie:_The_F
3,Boys Don't Cry,1999,Boys Don't Cry (1999): A drama film based on ,/wiki/Boys_Don%27t_Cry_(film)
4,By Hook or by Crook,2001,"""By Hook or by Crook"" (2001): A queer buddy f",/wiki/By_Hook_or_by_Crook_(2001_film)
5,Southern Comfort,2001,Southern Comfort (2001): A documentary film a,/wiki/Southern_Comfort_(2001_film)
6,Flying with One Wing,2003,Flying with One Wing (2003): Revolutionary Sr,/w/index.php?title=Flying_with_One_Wing&actio
7,Strange Circus,2005,"Strange Circus (2005): Yuji, the novelist's a",/wiki/Strange_Circus
8,Boy I Am,2006,Boy I Am (2006): A documentary that explores ,/w/index.php?title=Boy_I_Am&action=edit&redli
9,Itty Bitty Titty Committee,2007,Itty Bitty Titty Committee (2007): A comedy a,/wiki/Itty_Bitty_Titty_Committee
10,Funny Kinda Guy,2005,Funny Kinda Guy (2005): A documentary followi,/w/index.php?title=Funny_Kinda_Guy&action=edi
11,Romeos,2011,Romeos (2011): A drama and tragicomedy which ,/wiki/Romeos_(film)
12,Tomboy,2011,Tomboy (2011): A French drama about a 10year,/wiki/Tomboy_(2011_film)
13,Albert Nobbs,2011,Albert Nobbs (2011): A drama about a trans ma,/wiki/Albert_Nobbs
14,Pierrot Lunaire,2014,Pierrot Lunaire (2014): an adaptation of Arno,/wiki/Pierrot_Lunaire_(film)
15,Trans: a documentary about transboys,2014,Trans: a documentary about transboys (2014): ,/w/index.php?title=Trans:_a_documentary_about
16,About Ray,2015,About Ray (2015): A drama about a young perso,/wiki/About_Ray
17,Glen or Glenda,1953,"""Glen or Glenda"" (1953): A loose, unauthorize",/wiki/Glen_or_Glenda
18,The Christine Jorgensen Story,1970,The Christine Jorgensen Story (1970): Former ,/wiki/The_Christine_Jorgensen_Story
19,Myra Breckinridge,1970,Myra Breckinridge (1970): Starring Raquel Wel,/wiki/Myra_Breckinridge_(film)
20,,1970,Dinah East (1970): A young actor makes it big,NULL
21,I Want What I Want,1972,I Want What I Want (1972),/wiki/I_Want_What_I_Want
22,,1972,The Triple Echo (1972): A British soldier (Br,NULL
23,Dog Day Afternoon,1975,"Dog Day Afternoon (1975): Al Pacino's lover, ",/wiki/Dog_Day_Afternoon
24,Let Me Die a Woman,1978,Let Me Die a Woman (1978): A documentary film,/wiki/Let_Me_Die_a_Woman
25,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy ",1982,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy ","/wiki/Come_Back_to_the_Five_and_Dime,_Jimmy_D"
26,Dressed to Kill,1980,Dressed to Kill (1980): A film about a transg,/wiki/Dressed_to_Kill_(1980_film)
27,The World According to Garp,1982,The World According to Garp (1982): In this f,/wiki/The_World_According_to_Garp_(film)
28,Sleepaway CampFelissa RosePamela Springsteen,,"Sleepaway Camp series (1983, 1988, 1989, 2008",/wiki/Sleepaway_Camp
29,Kiss of the Spider Woman,1985,Kiss of the Spider Woman (1985): Luis Molina ,/wiki/Kiss_of_the_Spider_Woman_(film)
30,The Silence of the Lambs,1991,The Silence of the Lambs (1991): Ted Levine p,/wiki/The_Silence_of_the_Lambs_(film)
31,Twin Peaks,,Twin Peaks: Actor David Duchovny plays Denise,/wiki/Twin_Peaks
32,Soapdish,1991,"Soapdish (1991): In this soap opera parody, M",/wiki/Soapdish
33,The Crying Game,1992,The Crying Game (1992): A drama film. The plo,/wiki/The_Crying_Game
34,Orlando,1992,Orlando (1992): Tilda Swinton portrays Orland,/wiki/Orlando_(film)
35,Tales of the City,1993,"Tales of the City (1993): In the miniseries, ",/wiki/Tales_of_the_City
36,Naked Gun 33 1/3: The Final Insult,1994,Naked Gun 33 1/3: The Final Insult (1994): An,/wiki/Naked_Gun_33_1/3:_The_Final_Insult
37,Ace Ventura: Pet Detective,1994,Ace Ventura: Pet Detective (1994): One of the,/wiki/Ace_Ventura:_Pet_Detective
38,"The Adventures of Priscilla, Queen of the Des",1994,"The Adventures of Priscilla, Queen of the Des","/wiki/The_Adventures_of_Priscilla,_Queen_of_t"
39,A Transgender Path,1995,A Transgender Path (1995): A documentary shor,/w/index.php?title=A_Transgender_Path&action=
40,Different for Girls,1996,Different for Girls (1996): A British comedy ,/wiki/Different_for_Girls
41,Crayon Shinchan: Pursuit of the Balls of Dar,1997,Crayon Shinchan: Pursuit of the Balls of Dar,/wiki/Crayon_Shinchan:_Pursuit_of_the_Balls_
